BRAND,FlashName,ID,CE,TYPE,SIZE,FlashID1,FlashID2,FlashID,MaxBlock,MaxPage,MaxSector,MaxZone,MaxBank,MaxPhyBlock,MaxLogBlock,BlockPerDie,RWCycle,6913RWCycle,6919RWCycle,BinFileName,BinFileNameLLF,DQSDelay,6913DQSDelay,DefWrite,DefRead,FMAutoECC,ECCClock,Driving,6913Driving,6921Driving,BBPercent1,BBPercent2,EnableBitECC,Enable12BitECC,DisableWriteCache,DisableReadStatus,Homogenous,ThreadNumber,OriginOSC,Toggle,ECCAllow,FlashCase,LoadTLC_FW,FullFirmwareBlock,EnableBCT,SLC_boundary,Sync,ReadRetryTable,FirmwarePage,LoadPattern_FW,LLFBLOCK,LLFBLOCK_ECC,InterceptUFI,FW_Enable_Toggle,ZoneShift,ShiftByte,NewHomo,FW_ECC,For_DG ,MaxInfosectorNum,Thread_Depth,Code Segment,TmpFWBlockCount,SET_LC_Enable,InitValue_Enable
Sandisk,SDTNRGAMA-008G,"0x45,0xDE,0x94,0x93,0x76,0x50",1,MLC,8192,82,6,0x62,2048,512,32,1,1,2048,2018,1024,0x03,0x03,1,28_2B_THMLC256_TP.BIN,28_2B_THMLC256_TP.BIN,0x13,0x03,0x00,0x00,0xAC,0x80,0x00,0x88,0x00,9,9,40,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0,40,0,0,-1,0,0,0,0
Samsung,K9F1G08U0B,"0xEC,0xF1,0x00,0x95,0x00,0x00",1,SLC,64,76,4,0x01,1024,64,2,1,1,1024,1009,-1,1,1,1,28_D1_K9F.BIN,28_D1_K9F.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x11,0x88,0x11,5,5,40,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0xFF,0xFF,0,0,0,0,0,0,0xFF,0,40,0,0,-1,0,0,0,0
