1W1P
0
1
2
3
4
5
8
9
12
13
16
17
20
21
24
25
28
29
32
33
36
37
40
41
44
45
48
49
52
53
56
57
60
61
64
65
68
69
72
73
76
77
80
81
84
85
88
89
92
93
96
97
100
101
104
105
108
109
112
113
116
117
120
121
124
125
128
129
132
133
136
137
140
141
144
145
148
149
152
153
156
157
160
161
164
165
168
169
172
173
176
177
180
181
184
185
188
189
192
193
196
197
200
201
204
205
208
209
212
213
216
217
220
221
224
225
228
229
232
233
236
237
240
241
244
245
248
249,,,,,125,249
252,,,,,126,252
253,,,,,127,253
256,,,,,128,256
257,,,,,129,257
260,,,,,130,260
261,,,,,131,261
264,,,,,132,264
265,,,,,133,265
268,,,,,134,268
269,,,,,135,269
272,,,,,136,272
273,,,,,137,273
276,,,,,138,276
277,,,,,139,277
280,,,,,140,280
281,,,,,141,281
284,,,,,142,284
285,,,,,143,285
288,,,,,144,288
289,,,,,145,289
292,,,,,146,292
293,,,,,147,293
296,,,,,148,296
297,,,,,149,297
300,,,,,150,300
301,,,,,151,301
304,,,,,152,304
305,,,,,153,305
308,,,,,154,308
309,,,,,155,309
312,,,,,156,312
313,,,,,157,313
316,,,,,158,316
317,,,,,159,317
320,,,,,160,320
321,,,,,161,321
324,,,,,162,324
325,,,,,163,325
328,,,,,164,328
329,,,,,165,329
332,,,,,166,332
333,,,,,167,333
336,,,,,168,336
337,,,,,169,337
340,,,,,170,340
341,,,,,171,341
344,,,,,172,344
345,,,,,173,345
348,,,,,174,348
349,,,,,175,349
352,,,,,176,352
353,,,,,177,353
356,,,,,178,356
357,,,,,179,357
360,,,,,180,360
361,,,,,181,361
364,,,,,182,364
365,,,,,183,365
368,,,,,184,368
369,,,,,185,369
372,,,,,186,372
373,,,,,187,373
376,,,,,188,376
377,,,,,189,377
380,,,,,190,380
381,,,,,191,381
384,,,,,192,384
385,,,,,193,385
388,,,,,194,388
389,,,,,195,389
392,,,,,196,392
393,,,,,197,393
396,,,,,198,396
397,,,,,199,397
400,,,,,200,400
401,,,,,201,401
404,,,,,202,404
405,,,,,203,405
408,,,,,204,408
409,,,,,205,409
412,,,,,206,412
413,,,,,207,413
416,,,,,208,416
417,,,,,209,417
420,,,,,210,420
421,,,,,211,421
424,,,,,212,424
425,,,,,213,425
428,,,,,214,428
429,,,,,215,429
432,,,,,216,432
433,,,,,217,433
436,,,,,218,436
437,,,,,219,437
440,,,,,220,440
441,,,,,221,441
444,,,,,222,444
445,,,,,223,445
448,,,,,224,448
449,,,,,225,449
452,,,,,226,452
453,,,,,227,453
456,,,,,228,456
457,,,,,229,457
460,,,,,230,460
461,,,,,231,461
464,,,,,232,464
465,,,,,233,465
468,,,,,234,468
469,,,,,235,469
472,,,,,236,472
473,,,,,237,473
476,,,,,238,476
477,,,,,239,477
480,,,,,240,480
481,,,,,241,481
484,,,,,242,484
485,,,,,243,485
488,,,,,244,488
489,,,,,245,489
492,,,,,246,492
493,,,,,247,493
496,,,,,248,496
497,,,,,249,497
504,,,,,250,504
505,,,,,251,505
510,,,,,252,510
511,,,,,253,511
